country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,Surface temperature anomaly,Continent
Australia,1990,AUS,17048002.0,464136601600.0,3.463,0.203,278.16,21.324,8.302,263.537,42.58,19.271,15.459,0.568,0.255,16.316,0.599,0.269,141.877,8.322,243.324,14.273,0.524,90.173,7469.591,17556.299,4606.968,9.797,374.299,10087.504,2386.038,2.316,60597.098,2.226,7.272,0.427,34.455,2.021,28.773,31.991,-14.623,-0.858,146.25,8.579,78.77,4.62,88.777,5.207,0.136,2.316,1033.059,0.702,1.223,0.944,1.63,0.736,0.925,1.22,1.053,0.12,0.473,1.587,0.887,0.125,2.81,0.9,-0.283,0.96,1.038,1.772,0.007,0.008,0.017,0.002,545.39,490.53,-34.836,-12.524,0.38,Oceania
Australia,1991,AUS,17271092.0,461003816960.0,3.183,0.184,279.534,1.374,0.494,231.042,-32.495,-12.33,13.377,0.501,0.225,16.185,0.606,0.273,146.083,8.458,243.937,14.124,0.529,93.356,7749.125,17787.344,4753.051,16.798,407.085,10039.012,2474.215,4.62,59365.43,2.224,7.001,0.405,32.786,1.898,28.443,31.619,-48.492,-2.808,146.66,8.492,77.78,4.503,88.177,5.105,0.133,2.304,1025.306,0.627,1.203,0.82,1.696,0.732,0.932,1.212,1.066,0.199,0.49,1.567,0.888,0.224,2.555,0.839,-0.98,0.908,1.068,1.764,0.007,0.008,0.017,0.002,546.09,491.24,-35.597,-12.734,0.42,Oceania
Australia,1992,AUS,17462500.0,477843226624.0,2.923,0.167,284.529,4.995,1.787,311.409,80.368,34.785,17.833,0.652,0.299,16.294,0.595,0.273,150.049,8.593,246.536,14.118,0.516,96.279,8033.654,18098.752,4903.1,24.102,441.055,10065.893,2562.064,7.053,59681.504,2.181,7.304,0.418,33.97,1.945,28.183,31.324,26.881,1.539,144.88,8.297,76.89,4.403,87.849,5.031,0.139,2.434,1042.188,0.553,1.261,1.121,1.784,0.725,0.941,1.211,1.079,0.277,0.507,1.559,0.89,0.309,3.018,0.858,0.515,0.954,1.126,1.754,0.007,0.008,0.017,0.002,547.0,492.14,-37.992,-13.353,0.03,Oceania
Australia,1993,AUS,17631514.0,500840595456.0,3.005,0.17,288.874,4.345,1.527,331.135,19.725,6.334,18.781,0.661,0.311,16.384,0.577,0.271,150.096,8.513,247.453,14.035,0.494,99.284,8322.527,18429.887,5053.196,31.239,476.725,10108.152,2652.382,9.701,60350.93,2.125,7.137,0.405,35.67,2.023,28.037,31.148,42.261,2.397,143.46,8.137,76.61,4.345,90.318,5.123,0.15,2.648,1064.078,0.545,1.267,1.186,1.763,0.718,0.95,1.21,1.091,0.35,0.523,1.553,0.893,0.388,3.049,0.877,0.824,0.98,1.225,1.747,0.007,0.008,0.018,0.002,549.18,494.33,-41.421,-14.339,0.23,Oceania
Australia,1994,AUS,17805506.0,527346171904.0,3.484,0.196,293.701,4.827,1.671,319.368,-11.767,-3.553,17.936,0.606,0.289,16.495,0.557,0.266,151.376,8.502,256.014,14.378,0.485,102.768,8616.228,18749.254,5204.572,38.119,513.757,10133.82,2744.236,12.776,62085.629,2.096,6.88,0.386,37.032,2.08,28.089,31.17,25.667,1.442,144.34,8.106,76.4,4.291,91.854,5.159,0.173,3.074,1105.466,0.592,1.275,1.108,1.769,0.713,0.958,1.208,1.104,0.413,0.54,1.543,0.896,0.471,2.185,0.903,0.444,0.993,1.421,1.739,0.007,0.009,0.018,0.002,554.99,500.14,-37.686,-12.832,0.05,Oceania
Australia,1995,AUS,18003002.0,549172871168.0,3.358,0.187,305.056,11.355,3.866,497.653,178.285,55.824,27.643,0.906,0.431,16.945,0.555,0.264,155.735,8.65,261.645,14.533,0.476,106.126,8921.283,19246.908,5360.307,45.18,553.604,10326.417,2840.304,15.764,64117.02,2.102,7.061,0.392,39.847,2.213,28.243,31.293,192.597,10.698,143.46,7.969,76.19,4.232,96.068,5.336,0.166,2.988,1154.299,0.54,1.297,1.706,1.769,0.705,0.967,1.218,1.116,0.472,0.557,1.559,0.9,0.537,2.163,0.946,3.415,1.029,1.337,1.732,0.007,0.009,0.018,0.002,563.36,508.46,-43.41,-14.23,0.1,Oceania
Australia,1996,AUS,18211850.0,574551425024.0,3.244,0.178,311.94,6.885,2.257,515.151,17.498,3.516,28.287,0.897,0.434,17.128,0.543,0.263,160.388,8.807,268.021,14.717,0.466,109.37,9233.225,19762.057,5520.695,51.941,593.385,10529.627,2938.968,18.866,65239.766,2.068,6.761,0.371,39.781,2.184,27.908,31.027,203.21,11.158,139.43,7.656,71.89,3.947,98.664,5.418,0.17,3.103,1188.137,0.511,1.286,1.703,1.777,0.698,0.975,1.227,1.128,0.524,0.572,1.576,0.903,0.597,1.929,0.905,3.388,1.025,1.398,1.721,0.007,0.009,0.018,0.002,565.06,508.25,-43.92,-14.08,0.38,Oceania
Australia,1997,AUS,18410254.0,600621056000.0,3.185,0.173,320.333,8.392,2.69,457.837,-57.314,-11.126,24.869,0.762,0.376,17.4,0.533,0.263,167.683,9.108,275.646,14.972,0.459,112.554,9553.558,20219.895,5688.378,58.628,634.475,10667.131,3037.349,22.173,66120.109,2.027,6.687,0.363,41.09,2.232,28.017,31.269,137.504,7.469,142.61,7.746,71.8,3.9,98.381,5.344,0.18,3.307,1217.288,0.482,1.313,1.436,1.868,0.689,0.983,1.231,1.141,0.571,0.586,1.579,0.906,0.655,1.895,0.931,1.838,1.007,1.478,1.71,0.007,0.009,0.018,0.002,575.67,515.8,-44.687,-13.95,0.17,Oceania
Australia,1998,AUS,18601666.0,634305052672.0,3.475,0.187,334.136,13.803,4.309,536.629,78.792,17.21,28.848,0.846,0.431,17.963,0.527,0.268,177.614,9.548,295.576,15.89,0.466,116.03,9887.692,20756.523,5865.992,65.53,677.981,10869.624,3136.491,25.669,67001.016,1.965,6.902,0.371,43.506,2.339,29.266,32.376,202.493,10.886,145.14,7.803,75.57,4.063,99.142,5.33,0.188,3.496,1246.331,0.528,1.373,1.76,2.033,0.683,0.993,1.24,1.157,0.618,0.602,1.594,0.909,0.712,2.05,0.97,3.284,1.002,1.585,1.707,0.007,0.009,0.019,0.002,602.25,544.4,-38.56,-11.54,0.77,Oceania
Australia,1999,AUS,18800892.0,664206835712.0,3.52,0.187,343.959,9.824,2.94,494.546,-42.083,-7.842,26.304,0.745,0.381,18.295,0.518,0.265,183.231,9.746,296.616,15.777,0.447,119.55,10231.652,21251.068,6049.223,72.695,723.545,11020.21,3237.3,29.338,69004.57,1.953,7.165,0.381,45.564,2.424,30.951,34.16,150.586,8.01,161.77,8.604,93.12,4.953,100.809,5.362,0.195,3.669,1297.347,0.51,1.385,1.604,2.067,0.676,1.002,1.247,1.172,0.665,0.617,1.602,0.912,0.767,2.17,0.992,2.508,0.995,1.674,1.704,0.007,0.009,0.019,0.002,642.23,581.9,-47.344,-13.764,0.23,Oceania
